Time,SystemID,DeviceName,DeviceID,Event
2025-03-24 08:31:59,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 08:32:09,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 08:32:09,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 08:32:09,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 08:32:09,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to None
2025-03-24 08:33:20,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 08:33:20,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 08:33:20,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 08:33:20,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 08:33:20,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to None
2025-03-24 08:34:19,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 08:34:19,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 08:34:19,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 08:34:19,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 08:34:19,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to None
2025-03-24 08:36:39,0x83dfd3a93d25,USB Input Device (Other),USB\VID_30FA&PID_0400\5&52206AA&0&4,Device Deletion
2025-03-24 08:36:55,0x83dfd3a93d25,USB Input Device (Other),USB\VID_30FA&PID_0400\5&52206AA&0&4,Device Creation
2025-03-24 08:38:19,0x83dfd3a93d25,USB Input Device (Other),USB\VID_30FA&PID_0400\5&52206AA&0&4,Device Deletion
2025-03-24 08:38:29,0x83dfd3a93d25,USB Input Device (Other),USB\VID_30FA&PID_0400\5&52206AA&0&4,Device Creation
2025-03-24 08:38:35,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 08:38:35,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 08:38:35,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 08:38:35,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 08:38:35,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to None
2025-03-24 08:54:33,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 08:54:54,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 08:54:55,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 08:54:55,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 08:54:55,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 08:54:55,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to None
2025-03-24 08:59:20,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 08:59:23,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 08:59:23,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 08:59:23,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 08:59:23,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to None
2025-03-24 09:00:23,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 09:00:33,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 09:00:33,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 09:00:33,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 09:00:33,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to None
2025-03-24 09:03:44,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 09:03:45,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 09:03:45,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 09:03:45,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 09:03:45,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to None
2025-03-24 09:04:39,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 09:04:49,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 09:04:49,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 09:04:49,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 09:30:48,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 09:30:58,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 09:30:58,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 09:30:58,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 09:30:58,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to None
2025-03-24 09:32:26,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 09:32:26,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 09:32:26,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 09:32:26,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 09:32:26,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to None
2025-03-24 09:32:49,0x83dfd3a93d25,USB Input Device (Other),USB\VID_30FA&PID_0400\5&52206AA&0&4,Device Deletion
2025-03-24 09:33:08,0x83dfd3a93d25,USB Input Device (Other),USB\VID_30FA&PID_0400\5&52206AA&0&4,Device Creation
2025-03-24 09:43:38,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 09:43:48,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 09:43:48,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 09:43:48,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 09:43:48,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to None
2025-03-24 09:45:36,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 09:45:46,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 09:45:46,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 09:45:46,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 09:45:46,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to None
2025-03-24 09:50:07,0x83dfd3a93d25,Initial USB Devices,,Connected: None
2025-03-24 09:50:17,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 09:50:17,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 09:50:17,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 09:50:17,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to Other
2025-03-24 09:53:48,0x83dfd3a93d25,Initial USB Devices,,"Connected: USB 1, USB 2, USB 3, USB 4, USB 5, USB 6, USB 7, USB 8, USB 9"
2025-03-24 09:53:48,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 09:53:48,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 09:53:48,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 09:53:48,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to USB 1, USB 2, USB 3, USB 4, USB 5, USB 6, USB 7, USB 8, USB 9"
2025-03-24 09:59:50,0x83dfd3a93d25,Initial USB Devices,,Connected: Other (8)
2025-03-24 09:59:51,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 09:59:51,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 09:59:51,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 09:59:51,0x83dfd3a93d25,USB Devices,,USB Devices changed from Unknown to Other (8)
2025-03-24 10:02:49,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 10:02:49,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 10:02:49,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 10:02:49,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 10:02:49,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 10:05:16,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 10:05:16,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 10:05:16,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 10:05:16,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 10:05:16,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 10:07:29,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 10:07:29,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 10:07:29,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 10:07:29,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 10:07:29,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 11:39:45,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 11:40:13,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 11:40:19,0x83dfd3a93d25,Initial USB Devices,,"Connected: USB 1, USB 2, USB 3, USB 4, USB 5, USB 6, USB 7, USB 8, USB 9"
2025-03-24 11:40:20,0x83dfd3a93d25,CPU,,CPU changed from Unknown to Present
2025-03-24 11:40:20,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 11:40:20,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 11:40:20,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to USB 1, USB 2, USB 3, USB 4, USB 5, USB 6, USB 7, USB 8, USB 9"
2025-03-24 11:40:46,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 11:41:36,0x83dfd3a93d25,USB Input Device,USB\VID_30FA&PID_0400\5&52206AA&0&4,Device Deletion
2025-03-24 11:41:46,0x83dfd3a93d25,USB Input Device,USB\VID_30FA&PID_0400\5&52206AA&0&4,Device Creation
2025-03-24 11:43:40,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
